Timestamp,roll,pitch,heading,rollRate,pitchRate,yawRate,groundSpeed,airSpeed,airSpeedSetpoint,climbRate,altitudeRelative,altitudeAMSL,altitudeTuning,altitudeTuningSetpoint,xTrackError,rangeFinderDist,flightDistance,flightTime,distanceToHome,missionItemIndex,headingToNextWP,headingToHome,distanceToGCS,throttlePct,hobbs,battery0.id,battery0.batteryFunction,battery0.batteryType,battery0.voltage,battery0.current,battery0.mahConsumed,battery0.temperature,battery0.percentRemaining,battery0.timeRemaining,battery0.timeRemainingStr,battery0.chargeState,battery0.instantPower,clock.currentTime,clock.currentDate,distanceSensor.rotationNone,distanceSensor.rotationYaw45,distanceSensor.rotationYaw90,distanceSensor.rotationYaw135,distanceSensor.rotationYaw180,distanceSensor.rotationYaw225,distanceSensor.rotationYaw270,distanceSensor.rotationYaw315,distanceSensor.rotationPitch90,distanceSensor.rotationPitch270,distanceSensor.minDistance,distanceSensor.maxDistance,escStatus.index,escStatus.rpm1,escStatus.rpm2,escStatus.rpm3,escStatus.rpm4,escStatus.current1,escStatus.current2,escStatus.current3,escStatus.current4,escStatus.voltage1,escStatus.voltage2,escStatus.voltage3,escStatus.voltage4,estimatorStatus.goodAttitudeEsimate,estimatorStatus.goodHorizVelEstimate,estimatorStatus.goodVertVelEstimate,estimatorStatus.goodHorizPosRelEstimate,estimatorStatus.goodHorizPosAbsEstimate,estimatorStatus.goodVertPosAbsEstimate,estimatorStatus.goodVertPosAGLEstimate,estimatorStatus.goodConstPosModeEstimate,estimatorStatus.goodPredHorizPosRelEstimate,estimatorStatus.goodPredHorizPosAbsEstimate,estimatorStatus.gpsGlitch,estimatorStatus.accelError,estimatorStatus.velRatio,estimatorStatus.horizPosRatio,estimatorStatus.vertPosRatio,estimatorStatus.magRatio,estimatorStatus.haglRatio,estimatorStatus.tasRatio,estimatorStatus.horizPosAccuracy,estimatorStatus.vertPosAccuracy,gps.lat,gps.lon,gps.mgrs,gps.hdop,gps.vdop,gps.courseOverGround,gps.lock,gps.count,gps2.lat,gps2.lon,gps2.mgrs,gps2.hdop,gps2.vdop,gps2.courseOverGround,gps2.lock,gps2.count,hygrometer.temperature,hygrometer.humidity,hygrometer.hygrometerid,localPosition.x,localPosition.y,localPosition.z,localPosition.vx,localPosition.vy,localPosition.vz,localPositionSetpoint.x,localPositionSetpoint.y,localPositionSetpoint.z,localPositionSetpoint.vx,localPositionSetpoint.vy,localPositionSetpoint.vz,setpoint.roll,setpoint.pitch,setpoint.yaw,setpoint.rollRate,setpoint.pitchRate,setpoint.yawRate,temperature.temperature1,temperature.temperature2,temperature.temperature3,terrain.blocksPending,terrain.blocksLoaded,vibration.xAxis,vibration.yAxis,vibration.zAxis,vibration.clipCount1,vibration.clipCount2,vibration.clipCount3,wind.direction,wind.speed,wind.verticalSpeed
42:17.3,-0.7,-0.7,35,0,0,0,0,0,0.017,0,0.4,10.3,-0.01,-0.01,0,0,0,00:00:00,2.6,0,--.--,8,--.--,0,0000:00:00,0,0,0,25.09,0.03,1,--.--,99,--.--,--:--:--,1,0.75,nan,nan,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,10.000134,76.3542918,43PFM 48437 05731,0.7,1.2,322.1,3,14,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-2.5,-0.4,-0.4,0,0,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,45.68,48.91,--.--,0,224,0,0,0,0,0,0,180,0,0
42:18.2,-0.7,-0.7,35,0,0,0,0,0,0.023,0,0.4,10.3,0.02,0.01,0,0,0,00:00:00,2.6,0,--.--,8,--.--,0,0000:00:00,0,0,0,25.04,0.02,1,--.--,99,--.--,--:--:--,1,0.5,15:42:17,10-11-2023,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,10.0001341,76.3542914,43PFM 48437 05731,0.7,1.2,82.9,3,14,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-2.5,-0.4,-0.4,0,0,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,45.68,48.94,--.--,0,224,0,0,0,0,0,0,180,0,0
42:19.2,-0.6,-0.7,35,0,0,0,0,0,0.023,0,0.4,10.3,0.03,0.01,0,0,0,00:00:00,2.5,0,--.--,9,--.--,0,0000:00:00,0,0,0,25.02,0.28,1,--.--,99,--.--,--:--:--,1,7.01,15:42:18,10-11-2023,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,10.0001341,76.3542914,43PFM 48437 05731,0.7,1.2,82.9,3,14,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-2.5,-0.4,-0.4,0,0,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,45.68,48.94,--.--,0,224,0,0,0,0,0,0,180,0,0
42:20.2,-0.6,-0.7,35,0,0,0,0,0,0.016,0,0.4,10.3,0.04,0.03,0,0,0,00:00:00,2.5,0,--.--,9,--.--,0,0000:00:00,0,0,0,25.02,0.28,1,--.--,99,--.--,--:--:--,1,7.01,15:42:19,10-11-2023,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,10.0001345,76.3542911,43PFM 48437 05732,0.7,1.2,339.4,3,14,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-2.5,-0.4,-0.4,0,0,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,45.68,48.98,--.--,0,224,0,0,0,0,0,0,180,0,0
42:21.2,-0.6,-0.7,35,0,0,0,0,0,0.016,0,0.5,10.4,0.08,0.03,0,0,0,00:00:00,2.5,0,--.--,9,--.--,0,0000:00:00,0,0,0,25.08,0.03,1,--.--,99,--.--,--:--:--,1,0.75,15:42:20,10-11-2023,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,10.0001345,76.3542911,43PFM 48437 05732,0.7,1.2,339.4,3,14,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-2.5,-0.4,-0.5,0,0,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,45.68,48.98,--.--,0,224,0,0,0,0,0,0,180,0,0
42:22.2,-0.6,-0.7,35,0,0,0,0,0,0.026,0,0.5,10.4,0.1,0.1,0,0,0,00:00:00,2.5,0,--.--,10,--.--,0,0000:00:00,0,0,0,25.07,0.03,1,--.--,99,--.--,--:--:--,1,0.75,15:42:21,10-11-2023,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,10.0001347,76.3542907,43PFM 48437 05732,0.7,1.2,147.4,3,14,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-2.5,-0.4,-0.5,0,0,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,45.67,49.02,--.--,0,224,0,0,0,0,0,0,180,0,0
42:23.2,-0.6,-0.7,35,0,0,0,0,0,0.026,0,0.5,10.4,0.08,0.1,0,0,0,00:00:00,2.5,0,--.--,11,--.--,0,0000:00:00,0,0,0,25.07,0.03,1,--.--,99,--.--,--:--:--,1,0.75,15:42:22,10-11-2023,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,10.0001347,76.3542907,43PFM 48437 05732,0.7,1.2,147.4,3,14,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-2.4,-0.5,-0.5,0,0,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,45.67,49.02,--.--,0,224,0,0,0,0,0,0,180,0,0
42:24.2,-0.6,-0.7,35,0,0,0,0,0,0.016,0,0.5,10.4,0.07,0.07,0,0,0,00:00:00,2.5,0,--.--,11,--.--,0,0000:00:00,0,0,0,25.07,0.03,1,--.--,99,--.--,--:--:--,1,0.75,15:42:23,10-11-2023,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,10.0001347,76.3542907,43PFM 48437 05732,0.7,1.2,147.4,3,14,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-2.4,-0.5,-0.5,0,0,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,45.67,49.02,--.--,0,224,0,0,0,0,0,0,180,0,0
42:25.2,-0.6,-0.7,35,0,0,0,0,0,0.016,0,0.5,10.4,0.09,0.07,0,0,0,00:00:00,2.5,0,--.--,12,--.--,0,0000:00:00,0,0,0,25.05,0.02,1,--.--,99,--.--,--:--:--,1,0.5,15:42:24,10-11-2023,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,10.0001347,76.3542907,43PFM 48437 05732,0.7,1.2,147.4,3,14,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-2.4,-0.5,-0.5,0,0,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,45.67,49.02,--.--,0,224,0,0,0,0,0,0,180,0,0
42:26.2,-0.6,-0.7,35,0,0,0,0,0,0.024,0,0.5,10.4,0.09,0.08,0,0,0,00:00:00,2.5,0,--.--,13,--.--,0,0000:00:00,0,0,0,25.03,0.15,1,--.--,99,--.--,--:--:--,1,3.75,15:42:25,10-11-2023,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,10.0001351,76.35429,43PFM 48437 05732,0.7,1.2,40.1,3,14,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-2.4,-0.6,-0.5,0,0,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,45.67,49.11,--.--,0,224,0,0,0,0,0,0,180,0,0
